PRODUCT_ID;DEPARTMENT_ID;PRODUCT_CATEGORY_ID;SKU;BRAND;PRODUCT_NAME;GROSS_WEIGHT;NET_WEIGHT;ITEMS_IN_STORE;UNITS_PER_CASE;IS_LOW_FAT;PACKAGE_ID
0;6;43;93812521013;ClearLager;ClearLager Hefeweizen;0.5;0.45;;24;0;1812
1;12;30;90748583674;Washington;Washington Berry Juice;8.39;6.39;;30;0;1
2;12;52;96516502499;Washington;Washington Mango Drink;7.42;4.42;;18;1;2
3;12;52;58427771925;Washington;Washington Strawberry Drink;13.1;11.1;;17;1;3
4;12;19;64412155747;Washington;Washington Cream Soda;10.6;9.6;;26;0;4
5;12;19;85561191439;Washington;Washington Diet Soda;6.66;4.65;;7;0;5
6;12;19;29804642796;Washington;Washington Cola;15.8;13.8;;14;0;6
7;12;19;20191444754;Washington;Washington Diet Cola;18.0;17.0;;11;0;7
8;12;30;89770532250;Washington;Washington Orange Juice;8.97;6.97;;27;0;8
9;12;30;49395100474;Washington;Washington Cranberry Juice;7.14;5.13;;34;0;9
10;12;30;22114084362;Washington;Washington Apple Juice;8.13;7.13;;28;0;10
11;12;52;17074288725;Washington;Washington Apple Drink;20.0;19.0;;3;1;11
12;9;35;49031038880;Jeffers;Jeffers Oatmeal;8.9;6.89;;14;1;12
13;9;35;13229009509;Jeffers;Jeffers Corn Puffs;10.4;7.39;;20;0;13
14;9;35;92942813038;Jeffers;Jeffers Wheat Puffs;21.6;20.6;;33;1;14
15;9;35;26378549933;Jeffers;Jeffers Grits;21.3;20.2;;14;1;15
16;2;62;62908702492;Blue Label;Blue Label Canned Beets;21.2;18.2;;31;1;16
17;2;62;79484335780;Blue Label;Blue Label Creamed Corn;6.91;3.9;;34;1;17
18;2;62;85252254605;Blue Label;Blue Label Canned String Beans;12.6;10.6;;26;0;18
19;2;58;47163524031;Blue Label;Blue Label Chicken Soup;15.2;12.1;;35;1;19
20;2;62;22169209122;Blue Label;Blue Label Canned Yams;21.3;19.2;;22;1;20
21;2;58;43318244814;Blue Label;Blue Label Vegetable Soup;19.7;18.7;;18;1;21
22;2;62;77561696171;Blue Label;Blue Label Canned Tomatos;15.0;14.0;;31;0;22
23;2;58;32829326987;Blue Label;Blue Label Noodle Soup;10.6;9.6;;17;0;23
24;2;58;12408414483;Blue Label;Blue Label Regular Ramen Soup;12.8;10.8;;23;1;24
25;2;58;62032982707;Blue Label;Blue Label Chicken Noodle Soup;9.48;8.47;;21;1;25
26;2;58;34751966595;Blue Label;Blue Label Turkey Noodle Soup;16.5;13.5;;21;1;26
27;2;58;29712170958;Blue Label;Blue Label Beef Soup;11.2;8.19;;14;1;27
28;2;62;61668921113;Blue Label;Blue Label Canned Peas;21.9;20.8;;33;0;28
29;2;58;25866891741;Blue Label;Blue Label Chicken Ramen Soup;17.1;16.1;;34;0;29
