PAYMENT_ID;PAYMENT_DATE;CASH_FLOW;SUPPLIER_ID;ORDER_ID;EMPLOYEE_ID;WAREHOUSE_ID;PAYMENT_METHOD_ID
0;2024-06-30 00:00:00;515.41;;1;;;4
1;2024-02-10 00:00:00;48.23;;2;;;2
2;2024-03-27 00:00:00;57.36;;3;;;6
3;2024-02-16 00:00:00;230.58;;4;;;1
4;2024-06-06 00:00:00;89.01;;5;;;5
5;2024-04-18 00:00:00;276.1;;6;;;7
6;2024-03-21 00:00:00;111.38;;7;;;1
7;2024-05-14 00:00:00;32.23;;8;;;4
8;2024-08-19 00:00:00;168.19;;9;;;1
9;2024-03-23 00:00:00;23.62;;10;;;2
10;2024-03-22 00:00:00;87.12;;11;;;4
11;2024-08-31 00:00:00;146.57;;12;;;6
12;2024-01-25 00:00:00;202.46;;13;;;7
13;2024-02-15 00:00:00;79.71;;14;;;3
14;2024-04-30 00:00:00;99.43;;15;;;6
15;2023-11-14 00:00:00;209.99;;16;;;7
16;2024-07-31 00:00:00;88.86;;17;;;6
17;2024-06-02 00:00:00;228.26;;18;;;7
18;2024-05-30 00:00:00;108.8;;19;;;3
19;2024-02-16 00:00:00;160.48;;20;;;5
20;2024-09-02 00:00:00;244.61;;21;;;7
21;2024-06-08 00:00:00;81.21;;22;;;2
22;2024-02-19 00:00:00;306.01;;23;;;1
23;2024-03-22 00:00:00;73.87;;24;;;7
24;2023-10-30 00:00:00;89.08;;25;;;7
25;2023-10-22 00:00:00;73.61;;26;;;1
26;2023-10-08 00:00:00;53.34;;27;;;5
27;2024-05-02 00:00:00;94.14;;28;;;6
28;2024-07-02 00:00:00;112.97;;29;;;1
29;2024-05-11 00:00:00;155.59;;30;;;5
30;2024-07-22 00:00:00;149.42;;31;;;6
31;2024-08-07 00:00:00;38.82;;32;;;7
32;2024-04-04 00:00:00;151.79;;33;;;5
33;2024-03-02 00:00:00;306.25;;34;;;5
34;2024-05-01 00:00:00;132.64;;35;;;2
