PRODUCER_ID;POSTAL_CODE;STREET;CITY;HOUSE_NUMBER;NAME;COUNTRY
1;37191;Foley Stream;Lake Michaelhaven;122;Super;Algeria
2;97076;Martin Fords;Jamesmouth;37;Even Better;El Salvador
3;91976;Michael Rapid;South Lee;189;Big City;Ecuador
4;64607;Lee Divide;Mannport;20;Tri-State;French Guiana
5;11872;Julia Spring;Aaronmouth;14;Excellent;Dominica
6;29790;Michael Islands;Amberport;55;Just Right;Turks and Caicos Islands
7;36989;Brittney Lane;Patriciahaven;19;Gerolli;Cape Verde
8;85916;Gutierrez Springs;Powersfurt;38;Cutting Edge;Bosnia and Herzegovina
9;43918;Dixon Hollow;West Andrewmouth;139;Blue Label;Guinea
10;94302;Jessica Knoll;Walkermouth;148;Tell Tale;French Guiana
11;87472;Billy Island;Tannerfurt;11;Plato;Turkmenistan
12;10816;Kathy Square;Mackenziemouth;53;Sphinx;Afghanistan
13;36181;Smith Road;Collinsport;41;Bravo;Sierra Leone
14;68262;Reese Mission;South Amy;84;Genteel;Norfolk Island
15;24668;Johnston Courts;Port Kimberlyland;60;Golden;Ukraine
16;99428;Figueroa Estate;Adamfurt;59;BBB Best;Bangladesh
17;00747;Martinez Unions;Julieshire;137;Radius;Bangladesh
18;14873;Rebecca Brooks;Lake Andrewview;137;Black Tie;Cape Verde
19;72563;Wright Centers;Johnstad;108;Excel;Ireland
20;88744;Julie Crest;Jessicaborough;163;Robust;Korea
21;63451;Emily Estate;Lake Richardport;124;Fast;Sudan
22;78591;Allen Plaza;Nicholasstad;193;Thresher;Bahamas
23;86213;Singleton Fork;Port Deborah;146;Akron;United States Minor Outlying Islands
24;24636;Lindsay Rapids;Nathanielchester;95;Nationeel;Paraguay
25;44379;Samantha Ville;New Amberside;142;Mighty Good;Pitcairn Islands
26;30595;Jennifer Crossroad;West Sheila;11;Blue Medal;Ireland
27;04027;Jennifer Island;South Joshua;88;Token;Panama
28;21040;Byrd Stravenue;Fieldsfurt;58;Great;Australia
29;64875;Emily Turnpike;New Maria;87;Giant;Cayman Islands
30;15328;Chad Heights;Pamelafort;88;Discover;Latvia
31;73630;Pierce Island;West Sandra;136;Best;Sao Tome and Principe
32;78352;Jennifer Gateway;Guerramouth;63;Obirah;Romania
33;47018;Daniel Vista;Ashleychester;54;Jeffers;Mongolia
34;85750;Molly Track;Wrighthaven;87;Imagine;Qatar
35;98313;Karen Mill;Jacquelineburgh;191;High Top;Chad
36;30933;Amy Ports;Briannafort;51;Fort West;Bangladesh
37;73628;Laurie Crossing;North Beverly;127;Sunset;Senegal
38;84549;Oliver Extensions;Port Joseph;169;Moms;Serbia
39;67758;Lee Motorway;Juliemouth;57;Lake;Nigeria
40;32933;Sonya Pine;Lake Jessica;90;Shady Lake;Malta
41;21999;Gabriel Parkways;West Sarah;106;Best Choice;Namibia
42;09304;Jennifer Vista;Jonesfort;142;Quick;Madagascar
43;32002;Ashley Lodge;Jenniferview;62;Jardon;Cayman Islands
44;81880;Donaldson Courts;Martinview;30;Horatio;Ecuador
45;48940;Stacey Street;Swansonberg;158;Pearl;Anguilla
46;79968;Ramirez Alley;New Ethanhaven;40;Queen;Liechtenstein
47;07823;Karen Forks;North Nathanielmouth;35;Good;Poland
48;14235;Allison Rest;Port Lauren;190;Medalist;Colombia
49;85764;Robert Prairie;South Eric;145;Prelude;Anguilla
50;43815;Andrew Springs;North Kimberly;155;Dual City;Turks and Caicos Islands
51;34657;Timothy Wall;Olivermouth;100;Framton;Peru
52;82072;Avila Prairie;South Stephaniemouth;157;CDR;Saudi Arabia
53;20502;Miller Ridges;East Michaelburgh;94;Swell;Swaziland
54;43269;Christian Prairie;Port Margaretview;191;Jumbo;French Guiana
55;42371;Rodriguez Alley;North Gabriellefurt;188;Gauss;Norfolk Island
56;42287;Wesley Loaf;Vaughnmouth;69;Johnson;Bulgaria
57;46197;Dylan Stravenue;Walkerview;162;Colossal;Mauritania
58;58886;Barbara Port;Moralesbury;167;PigTail;Aruba
59;94860;Christine Island;Lake Randall;65;Walrus;Armenia
60;48306;Thomas Points;East Annabury;41;Cormorant;Aruba
61;24885;Destiny Path;Benjaminstad;45;Green Ribbon;Croatia
62;98379;Steven Lake;West Reginald;182;Modell;Vietnam
63;78791;Hernandez Forks;East Elizabethhaven;22;Amigo;Colombia
64;71897;Young Landing;Alexandermouth;37;Hermanos;Bolivia
65;30349;Aguilar Valley;Johnsonland;122;Tip Top;Brunei Darussalam
66;61409;Smith Drive;Herrerashire;108;Colony;Guinea-Bissau
67;10457;Andrew Summit;New Victoria;5;Big Time;Canada
68;59875;Mary Squares;New Deannashire;189;Toretti;Oman
69;35266;Gregory Radial;Josephfurt;10;National;French Polynesia
70;97613;Ronald Ways;North Sherrihaven;10;Atomic;Heard Island and McDonald Islands
71;93971;Choi Lock;South Josephbury;74;Bird Call;Vietnam
72;69992;Bryant Springs;South Angela;132;High Quality;Jamaica
73;27991;Brian Coves;Conleystad;4;Consolidated;France
74;97866;Ryan Ports;South Joshuafort;199;American;Guinea-Bissau
75;54782;Murphy Burgs;Mikeborough;111;Musial;Paraguay
76;45004;Williams Streets;Smithhaven;67;Top Measure;Madagascar
77;89363;Ashley Shore;New Sarah;5;Special;Bahrain
78;67979;Loretta Overpass;Port Larry;109;Gorilla;Saint Martin
79;12368;Alan Route;Elizabethbury;33;Toucan;Benin
80;95544;James Walks;Elliottland;180;ADJ;Armenia
81;06032;Cruz Shores;Jamesport;123;Kiwi;South Georgia and the South Sandwich Islands
82;95136;Jackson Ferry;West Margaretside;24;Dollar;Cuba
83;01233;Hayden Ports;Port Joshuamouth;188;Red Spade;Australia
84;20980;Rodriguez Rapids;South Patrickfurt;174;Skinner;Swaziland
85;35206;Robert Junctions;Sandraberg;17;Dapi;Brunei Darussalam
86;21971;John Course;East David;146;Pleasant;Palestinian Territory
87;04859;Martinez Track;West Michaelshire;127;King;Zimbabwe
88;52231;Jimenez Landing;Lake Tammy;5;Carlson;Spain
89;68889;Catherine Cape;Lake Davidchester;200;Booker;Trinidad and Tobago
90;03033;Williams Junctions;West Joseph;3;Hilltop;Singapore
91;00627;Andrew Drive;Maddoxburgh;166;Portsmouth;Iran
92;06321;Lee River;Millerfurt;40;Gulf Coast;Central African Republic
93;29738;Patel Lodge;East Justin;200;Landslide;Cuba
94;93846;Anthony Turnpike;Stefaniefurt;51;Club;Dominica
95;63441;Krystal Forest;East Sarahstad;163;James Bay;British Virgin Islands
96;00942;Kristina Greens;Harrischester;181;Choice;Montserrat
97;64561;Barbara Forks;Stevenview;26;Ebony;Netherlands
98;73341;Kristina Forest;Hamiltonhaven;79;Denny;Palau
99;41627;Robinson Vista;Reedberg;117;Curlew;Nigeria
100;40798;Porter Bridge;Thompsonton;59;Monarch;Mexico
101;77077;Jennings Track;Andersonfurt;200;Red Wing;Malawi
102;57131;Jill Point;Baileyport;117;Fabulous;Solomon Islands
103;32863;Parker Stravenue;Brittanyberg;180;Fantastic;Burundi
104;92471;Clark Squares;Kennedyton;8;Washington;Rwanda
105;51686;Ashley Keys;Kristinfort;143;Steady;Macao
106;41354;Danielle Street;South Conniefurt;66;Applause;Netherlands
107;54762;Kemp Valleys;Arthurville;115;Atikam;Rwanda
108;36369;Gregory Summit;Pamelatown;166;Footnote;Jordan
109;95641;Garcia Springs;East Jesseborough;36;Symphony;Palestinian Territory
110;80357;Hernandez Meadow;Martinezview;112;Better;Liechtenstein
111;92621;Powers Fields;New Christopherborough;90;Carrington;Angola
112;82729;Debra Parks;Cobbborough;155;Ship Shape;Australia
113;43700;Deleon Dale;Aprilmouth;36;Faux Products;Papua New Guinea
114;50938;Cheryl Junction;Tammyhaven;46;Urban;Peru
