PRODUCT_ID;CASES_PER_PALLET;UNITS_PER_CASE;PRODUCT_NAME;SRP;RECYCLABLE_PACKAGE;LOW_FAT;RETAIL_PRICE;GROSS_WEIGHT;SHELF_WIDTH;PRODUCER_ID;SKU;PRODUCT_CATEGORY_ID;NET_WEIGHT
0;14;30;Washington Berry Juice;2.85;0;0;3.85;8.39;16.9;104;90748583674;58;6.3899999
1;8;18;Washington Mango Drink;0.74;0;1;1.74;7.42;13.4;104;96516502499;91;4.4200001
2;13;17;Washington Strawberry Drink;0.83;1;1;1.83;13.1;14.4;104;58427771925;91;11.1
3;10;26;Washington Cream Soda;3.64;1;0;4.64;10.6;22.9;104;64412155747;43;9.6000004
4;10;7;Washington Diet Soda;2.19;1;0;3.19;6.66;20.7;104;85561191439;43;4.6500001
5;10;14;Washington Cola;1.15;0;0;2.15;15.8;6.42;104;29804642796;43;13.8
6;7;11;Washington Diet Cola;2.61;1;0;3.61;18.0;15.0;104;20191444754;43;17
7;7;27;Washington Orange Juice;2.59;1;0;3.59;8.97;7.56;104;89770532250;58;6.9699998
8;7;34;Washington Cranberry Juice;2.42;0;0;3.42;7.14;18.5;104;49395100474;58;5.1300001
9;14;28;Washington Apple Juice;1.42;1;0;2.42;8.13;21.6;104;22114084362;58;7.1300001
10;10;3;Washington Apple Drink;3.51;0;1;4.51;20.0;19.4;104;17074288725;91;19
11;6;14;Jeffers Oatmeal;1.54;1;1;2.54;8.9;15.9;33;49031038880;64;6.8899999
12;10;20;Jeffers Corn Puffs;2.65;0;0;3.65;10.4;18.2;33;13229009509;64;7.3899999
13;10;33;Jeffers Wheat Puffs;1.93;1;1;2.93;21.6;7.73;33;92942813038;64;20.6
14;9;14;Jeffers Grits;2.29;0;1;3.29;21.3;8.96;33;26378549933;64;20.200001
15;10;31;Blue Label Canned Beets;3.83;0;1;4.83;21.2;19.0;9;62908702492;105;18.200001
16;9;34;Blue Label Creamed Corn;2.99;1;1;3.99;6.91;7.8;9;79484335780;105;3.9000001
17;10;26;Blue Label Canned String Beans;2.67;1;0;3.67;12.6;8.87;9;85252254605;105;10.6
18;7;35;Blue Label Chicken Soup;3.19;1;1;4.19;15.2;22.6;9;47163524031;100;12.1
19;8;22;Blue Label Canned Yams;2.78;0;1;3.78;21.3;5.95;9;22169209122;105;19.200001
20;7;18;Blue Label Vegetable Soup;2.33;0;1;3.33;19.7;11.7;9;43318244814;100;18.700001
21;13;31;Blue Label Canned Tomatos;2.29;0;0;3.29;15.0;19.0;9;77561696171;105;14
22;9;17;Blue Label Noodle Soup;1.75;1;0;2.75;10.6;19.8;9;32829326987;100;9.6000004
23;8;23;Blue Label Regular Ramen Soup;1.73;0;1;2.73;12.8;20.7;9;12408414483;100;10.8
24;10;21;Blue Label Chicken Noodle Soup;1.55;1;1;2.55;9.48;4.98;9;62032982707;100;8.4700003
