PRODUCT_ID;SUPPLIER_ID;PURCHASE_PRICE
0;421;7.76
0;270;4.5
0;347;6.1
0;285;4.49
1;296;7.75
1;430;7.01
2;279;5.11
2;269;4.46
3;325;4.32
3;109;7.4
3;263;0.84
3;76;6.34
4;496;3.02
5;170;4.14
5;116;6.24
6;424;5.27
6;126;3.1
6;1;2.83
6;9;4.57
7;242;4.32
7;391;6.33
7;337;7.71
7;175;7.69
7;264;2.81
8;103;7.13
9;239;4.49
9;46;4.71
10;457;0.99
10;152;3.35
10;28;6.85
10;409;3.36
11;5;2.06
11;34;4.42
11;75;6.83
12;314;7.69
13;437;7.29
13;72;5.12
13;432;6.48
14;148;4.86
14;339;1.62
14;96;7.51
14;176;1.64
15;450;2.16
16;84;7.04
16;219;4.7
17;374;7.66
17;291;3.58
17;440;5.82
17;45;3.27
18;113;5.63
18;442;1.42
18;314;3.01
18;264;3.39
18;410;4.11
19;354;2.62
19;209;6.0
19;424;6.56
19;376;7.81
20;492;3.37
20;378;3.46
20;412;6.86
20;379;7.72
21;243;0.84
21;210;6.61
22;170;5.15
22;392;4.7
22;408;2.01
22;6;3.22
22;353;3.63
23;206;4.44
23;445;5.03
23;19;5.79
24;399;6.28
25;55;4.21
25;48;7.88
26;356;6.7
27;46;6.46
27;159;7.91
27;405;2.0
27;257;6.87
27;55;5.57
28;436;1.43
29;2;4.83
29;269;3.3
29;259;1.35
30;294;1.7
30;384;6.44
30;182;1.94
30;416;5.18
31;2;7.85
31;68;2.91
31;148;4.84
31;375;1.56
32;214;0.88
32;443;0.94
32;102;7.28
32;464;1.66
33;270;2.65
33;356;6.07
34;326;6.61
34;109;3.03
34;406;3.4
35;389;6.47
35;66;3.66
35;424;4.19
36;79;6.0
36;127;3.87
36;318;6.38
37;55;5.32
37;45;1.28
37;110;7.75
38;199;2.05
38;46;7.24
38;9;7.4
38;273;5.45
39;92;4.86
39;117;5.17
39;472;2.0
39;193;7.98
40;331;4.67
40;441;6.5
41;318;3.52
41;300;5.4
42;386;1.8
42;433;4.51
42;397;3.25
42;436;1.99
42;409;6.76
43;492;3.14
44;63;2.78
44;417;1.44
44;304;4.26
45;164;5.66
46;77;1.34
46;64;7.55
46;412;1.42
46;116;6.21
47;156;6.3
48;45;4.96
48;400;4.83
48;60;1.38
48;378;5.57
48;332;3.9
49;83;2.96
49;408;2.56
49;249;6.89
49;479;7.45
49;154;4.59
50;174;1.01
50;268;6.3
51;468;7.23
51;2;1.89
52;335;5.6
53;373;6.34
53;107;7.74
53;306;5.2
53;379;6.75
54;80;1.95
55;404;1.01
55;331;1.28
55;52;7.72
55;441;3.06
55;287;5.22
56;257;3.61
56;286;2.94
56;57;1.35
56;147;5.8
57;420;6.46
57;262;3.47
58;286;5.85
58;470;2.11
58;21;6.51
58;344;3.43
58;382;3.55
59;275;6.39
59;28;0.92
59;327;1.49
59;378;6.06
60;87;6.86
61;476;3.48
61;301;6.27
62;53;7.7
63;142;2.12
63;165;3.05
63;30;7.41
63;282;2.08
63;120;6.23
64;130;7.93
65;308;5.07
65;59;4.23
65;195;4.86
65;61;5.26
66;249;3.35
66;357;4.78
66;182;3.87
67;355;7.67
67;186;7.48
67;152;0.81
67;475;5.44
68;233;7.67
68;441;7.82
68;434;6.88
68;276;1.14
69;302;6.36
69;499;5.7
69;317;5.26
70;109;7.23
70;324;4.92
71;117;3.57
72;317;5.39
72;270;4.37
72;18;7.54
72;337;7.77
73;188;1.94
73;384;7.65
74;71;3.01
75;160;5.25
76;373;0.83
76;263;3.81
77;46;5.98
77;48;2.3
77;481;5.63
77;82;5.22
77;348;1.13
78;239;6.52
78;78;7.88
78;247;5.47
78;433;4.6
79;432;4.37
80;493;4.17
81;196;7.58
81;234;2.95
81;13;5.66
81;464;5.08
81;57;6.39
82;17;3.8
83;89;1.2
83;181;6.57
84;427;7.61
84;208;1.44
84;439;1.41
84;144;5.22
85;452;7.37
85;478;2.96
86;175;7.14
86;10;5.03
86;431;2.62
86;459;2.61
87;46;6.17
87;495;2.73
87;407;4.28
88;28;1.76
89;269;5.36
89;209;5.69
89;423;5.63
89;455;3.06
89;50;6.31
90;355;4.01
90;288;3.76
90;498;4.17
90;191;7.06
91;308;6.25
91;260;1.37
91;307;3.64
91;372;7.77
91;355;4.81
92;93;3.67
92;487;6.22
92;437;2.53
92;381;2.38
92;71;5.65
93;432;7.66
93;212;7.44
94;323;4.04
94;317;6.39
94;456;7.85
94;401;4.46
94;233;1.6
95;314;1.91
95;87;6.99
95;13;2.45
95;467;7.07
95;3;5.47
96;322;1.88
96;14;3.04
96;87;6.99
97;500;2.23
98;246;5.58
98;401;4.87
98;177;3.86
99;267;6.85
99;478;4.75
99;25;3.46
99;6;2.07
99;313;4.27
100;186;3.51
100;304;1.19
101;318;4.77
101;272;6.96
102;409;7.33
102;63;1.5
102;61;5.3
