PRODUCT_ID;WAREHOUSE_ID;STOCK;STORAGE_LOCATION
1;1;759;004SH36
2;1;400;007EC87
2;2;454;007LS59
3;2;478;004SW48
4;1;969;002AT73
4;2;649;003YW68
6;1;468;006FA80
8;1;611;002YG50
9;2;837;007LU50
12;1;817;004DR76
12;2;981;002RX01
13;2;83;004DR40
14;1;462;004OY61
14;2;570;006BU88
15;2;820;002SD99
16;1;118;001BB41
16;2;291;005OQ38
17;2;860;001SX32
18;1;557;004AN08
19;1;144;003CA84
20;1;506;002RC61
20;2;106;006FG83
21;2;713;006DA61
22;1;647;004AY04
23;1;33;002NB50
24;1;396;005KB72
25;2;630;003OZ22
26;1;397;006CY17
27;1;892;005RP14
27;2;360;001YM18
28;1;995;001ZI15
28;2;213;005LJ05
29;1;190;008VQ83
30;2;828;008LN89
31;1;656;001AZ43
31;2;589;001YL14
33;1;40;008TA48
35;1;1000;001HL51
35;2;984;001OO70
37;2;490;004ZP53
38;1;988;004IO81
38;2;566;001BS79
40;1;95;004BJ93
40;2;493;009GX84
43;1;300;001BR29
43;2;752;008UD70
44;2;490;003BV33
46;2;680;007RJ46
48;1;532;003WO49
50;1;969;005LH78
50;2;211;003XP38
52;2;321;003WF52
53;1;721;005OD31
54;1;209;008FQ12
56;1;899;003HM96
57;2;147;003NY54
58;1;743;005MM40
58;2;856;003VX04
59;1;262;009BS45
60;1;298;006CM74
62;2;58;001BV11
65;1;368;006MT72
65;2;709;006NV53
66;1;671;008MT63
67;2;629;004XB71
69;2;840;004WI96
70;2;258;003NZ11
71;2;944;009TF90
72;1;700;005HT63
73;1;54;008VH99
73;2;632;003SU82
74;2;528;007JS25
76;2;596;008KS85
78;2;865;005HY34
79;2;657;002VD66
80;1;623;001VE22
80;2;650;008PQ72
82;1;636;003YX06
82;2;443;007SG92
83;1;920;009KU17
84;2;377;005CF65
85;1;544;004BE44
85;2;47;005HR51
86;1;225;003MH06
90;1;652;004TQ35
91;1;314;009DH63
91;2;368;008SN90
92;1;176;007JH01
92;2;771;006SQ57
95;1;729;002HT15
95;2;158;007RG92
96;1;371;006LL88
97;1;502;009QK68
98;1;571;001LN41
98;2;48;009JE66
99;1;128;007NJ55
100;2;658;003FL53
101;1;451;006GS11
101;2;432;006YM77
105;1;348;002NB94
105;2;982;006PV93
106;1;876;009AJ60
107;1;377;009QK80
108;2;706;003KH09
109;1;741;008GW94
111;1;272;006IL11
111;2;133;005AW08
112;2;667;005NH73
113;1;754;003LA23
113;2;945;001MR68
114;1;738;003DU30
116;1;479;001QN39
117;2;362;005AF64
119;2;451;008ZO70
121;1;635;006BS05
121;2;218;007DK87
122;2;90;001LD85
124;1;887;006TH45
125;1;544;008HT88
126;2;436;005AI90
127;1;983;008FF32
127;2;493;001HY33
129;2;387;003EB68
130;1;667;007BH67
131;1;424;005FY28
132;2;153;009OU08
133;1;16;009GE15
133;2;291;006TB87
137;1;371;002RJ25
138;2;73;008HW16
139;1;927;008LG58
139;2;951;009VL02
140;2;495;009IT65
141;2;718;004RC38
143;2;14;001ZQ01
144;1;245;003WK18
144;2;393;003WZ41
145;2;593;004FQ97
148;2;342;003HQ37
149;1;438;003BA76
149;2;439;006IQ93
152;1;91;007AU85
153;2;205;004TY52
154;1;455;009YC98
154;2;934;002TE96
155;2;560;007DI94
157;1;737;003UK47
157;2;741;009PR13
158;1;572;003PF33
160;1;385;004ZJ63
161;2;357;009SO51
162;1;803;002MC88
165;1;131;002TZ23
165;2;214;008LJ39
166;1;740;006LH40
167;2;941;005MU28
168;1;405;007HO38
168;2;295;001CN88
169;2;846;002IO26
170;1;157;007AE05
170;2;251;004QF26
171;1;264;007LX79
173;1;260;009SQ08
173;2;516;006KZ79
175;2;14;008KO70
178;2;434;005XW47
179;2;772;004NG04
180;1;105;003ZI80
180;2;17;004OF90
182;2;166;001TY21
183;1;11;001SN63
183;2;839;005GE53
184;1;498;002LO69
185;2;130;005LD58
186;1;10;005ZU52
186;2;253;008AB41
187;2;52;004XP13
189;1;778;005YD97
189;2;443;003GT23
190;1;122;001UD05
191;2;659;008FB70
193;1;917;007OM74
197;2;253;004VQ02
198;1;34;005ZM13
198;2;447;005QT98
199;1;157;004FV72
200;2;442;001SL08
201;1;409;006DU96
201;2;52;001JW15
203;1;548;001NT54
203;2;751;002RC89
207;1;386;002OK50
207;2;551;005TX98
208;1;885;001TE60
208;2;40;001BE61
209;1;827;003SZ39
209;2;222;009ZR43
210;2;198;004UY79
211;2;983;003KT34
212;1;333;005RG54
212;2;941;008PZ92
214;2;711;004AH19
217;1;522;007OL10
218;2;607;009WE19
220;2;380;001FJ67
222;1;369;004CB21
223;2;814;009TA64
224;2;711;002LV57
225;2;630;005ZW56
226;1;320;001BJ89
228;2;497;008KC19
229;1;621;008JH50
230;1;740;007EP76
231;2;21;001BL92
233;2;60;008LK16
234;1;472;006AF14
236;2;969;008UD31
237;2;483;005TZ67
238;2;294;006YE60
239;1;936;002NO79
239;2;876;004YE28
240;1;774;004XM17
241;2;356;005LX08
243;2;741;007FE68
245;2;447;003LE27
248;2;404;007FN52
249;1;672;003EZ09
249;2;508;003ZZ01
250;1;999;005UO18
251;1;456;001MA68
252;1;363;005JC16
253;1;661;003QY70
254;1;777;006UC09
256;1;177;007HN44
258;1;80;006RW22
260;1;127;004KU94
260;2;343;003OI82
261;1;531;008XC99
262;1;506;009CD60
262;2;888;008EU86
263;2;39;004GL12
264;2;807;006AP33
266;1;739;004NP14
266;2;212;009NE21
267;2;835;005HY43
268;2;409;002UJ17
269;1;754;003LD68
269;2;406;002JR67
270;1;90;002EX76
270;2;876;005QY51
271;1;333;007XY35
272;1;368;009UG91
273;1;738;007XS02
275;2;322;004MP72
276;2;546;004HG31
277;1;648;008FE28
277;2;294;004RH59
278;2;139;008KI29
283;2;432;004DV56
285;1;241;003GS16
287;1;560;005GR47
287;2;627;001SS74
290;1;973;005NQ91
291;1;638;001FQ04
292;1;394;005VH70
292;2;296;005HZ02
293;1;99;002NV03
294;1;378;008GG81
295;1;811;001WX13
295;2;862;003DK97
296;1;509;004BN86
296;2;248;003HI40
298;1;139;008SP59
298;2;642;001ZQ22
299;1;83;001OO47
299;2;376;002PO31
300;2;631;003AE41
301;1;588;009RP24
302;2;616;007UP55
303;1;563;001XA09
303;2;20;008OD66
304;1;436;007WQ19
304;2;183;008TV31
305;1;974;009NS54
307;1;140;009PF80
307;2;376;001OO42
308;1;620;001QY78
309;2;392;002EH31
310;2;818;003FU65
311;1;211;003BW10
313;1;92;005QD75
315;2;398;004XB19
316;1;392;003LR46
316;2;430;007UC57
319;1;131;005FA86
320;1;6;006JR05
320;2;15;004JN19
322;2;902;005GB70
324;1;206;007JS70
324;2;677;005MV42
325;1;75;003HN26
326;2;196;008NT11
327;1;649;006EA25
329;1;119;007IV84
329;2;577;001BB37
330;1;689;007ZT40
330;2;90;007WA64
331;2;926;006JT09
332;2;229;004AL41
333;2;162;005PH17
334;1;379;004CF63
335;2;459;003WX57
336;1;738;006IX95
337;1;365;002VP56
337;2;837;006VW39
338;1;969;008VV87
339;2;887;002UN63
340;1;256;002NX23
340;2;318;008AF05
341;1;745;006NK21
342;1;390;006TW92
343;1;154;001UV30
343;2;939;003AL03
344;1;563;004UB79
344;2;985;007RX39
346;1;193;003JS62
347;1;185;007EM08
347;2;421;001YE82
348;1;265;005OP83
349;1;891;001VR45
349;2;8;009RC71
350;1;279;003CX61
351;1;282;005PQ78
351;2;641;005KX02
353;2;38;004YV62
354;1;674;007KO62
356;1;438;004RQ68
358;2;740;009QW51
361;1;807;006SZ68
363;1;98;009CE96
363;2;844;005ZS70
364;1;407;006VU21
365;1;187;003ZL26
367;1;253;005JQ29
369;1;915;003BP86
370;2;385;009NT97
372;2;893;009ZV21
373;1;506;008YE34
374;1;347;007CH84
375;2;657;009HL12
376;2;287;001IG75
377;1;221;004GQ52
378;1;627;004XG67
378;2;923;002WN16
380;2;883;003SW83
381;1;497;006PI03
382;2;612;009VI97
383;2;287;003IX92
386;1;985;002FM82
387;2;753;004CQ44
388;1;630;005TB94
388;2;518;003AG37
390;1;388;005QL03
392;1;781;006LV74
392;2;620;006MR16
393;1;594;005BJ32
393;2;383;001PI23
394;2;923;001ZL42
396;2;499;001UI41
397;1;772;008PU27
398;2;748;007AT08
399;1;463;008XJ34
399;2;683;009GB02
401;2;938;002EY57
402;1;106;007CK65
402;2;676;009BJ44
403;2;110;001XB11
405;1;934;004GV53
405;2;696;008QP84
406;2;883;007SL81
407;2;800;006WM83
408;2;954;001RP38
409;2;300;002NF07
409;1;912;004FW76
410;2;193;007JK96
411;2;214;003VX95
413;1;617;006GS21
414;2;515;008SY12
415;1;209;009LQ62
415;2;685;008DI94
416;1;539;003JN91
416;2;228;008VT90
420;2;789;006LA13
422;1;69;007GC02
424;1;912;006FJ75
424;2;516;009TV27
426;1;897;008RJ31
428;1;432;006UN18
428;2;752;001GK45
429;1;609;002ZJ35
429;2;668;009AQ56
430;2;592;006UN88
432;2;956;003KB46
434;1;982;009RF02
434;2;310;003IE29
435;2;537;007XQ47
436;1;584;008TT78
436;2;410;007VF42
438;1;576;003BM38
439;1;552;004BK80
440;2;807;004WS86
442;1;789;005YM30
442;2;109;005RK29
443;2;656;007VF32
444;1;877;004RZ30
444;2;121;006KA44
445;1;246;004HO88
447;1;322;006XB22
448;1;739;005GA75
449;1;4;009FU77
451;1;588;006ZP91
451;2;649;002AT68
452;1;252;002VG92
453;1;796;003SJ88
454;1;65;008KJ99
454;2;89;009FO68
455;1;776;003SS89
456;1;350;002KO79
456;2;899;006EU35
457;1;626;007GA80
460;2;443;007PW24
461;1;861;004GH54
461;2;549;007AA89
462;2;46;008LO74
463;1;509;004SM39
463;2;958;002NF19
464;1;516;009ZY35
464;2;659;002FU70
466;1;224;005XE58
468;1;150;004ND68
470;1;875;002OY88
471;1;837;002KV66
471;2;809;002WC74
472;1;500;002ET90
473;1;265;009LY81
473;2;367;004SV65
474;1;133;001GV62
475;2;788;005DQ73
477;1;591;001XA38
477;2;746;006NX24
478;2;965;007UJ10
479;2;871;008PM37
480;1;398;009KZ58
480;2;168;005WJ23
481;1;948;007BG04
482;2;233;002YM67
483;2;121;007FR99
485;1;239;005VY43
486;1;825;007SL32
487;1;457;001BP77
487;2;323;006GQ06
489;2;459;007UA80
490;2;866;009HD46
491;1;860;006LJ90
492;2;276;001AZ98
494;2;866;002WR60
495;1;489;001GE15
496;2;630;009AR23
497;2;324;006GZ24
498;2;747;008IS99
500;2;330;002NX51
501;1;731;006PU10
