SHOPPING_CART_ID;DELETED_ON;CREATED_ON;AMOUNT_OF_PRODUCTS;CUSTOMER_ID
1;;2020-09-29 00:00:00;160;824
2;;2021-02-21 00:00:00;14;2038
3;;2023-12-27 00:00:00;20;7831
4;;2022-11-15 00:00:00;75;5121
5;;2022-09-27 00:00:00;28;6444
6;;2022-11-04 00:00:00;83;9725
7;;2022-10-22 00:00:00;34;9445
8;;2021-12-29 00:00:00;11;4181
9;;2022-02-25 00:00:00;45;928
10;;2020-04-02 00:00:00;11;3512
11;;2021-09-26 00:00:00;22;4292
12;;2020-03-07 00:00:00;50;6666
13;;2021-05-22 00:00:00;58;5513
14;;2023-08-15 00:00:00;22;2834
15;;2020-01-16 00:00:00;31;4972
16;;2020-06-14 00:00:00;85;3364
17;;2022-03-06 00:00:00;23;5302
18;;2021-03-27 00:00:00;62;772
19;;2021-03-09 00:00:00;29;1412
20;;2021-01-08 00:00:00;48;228
21;;2022-01-20 00:00:00;80;6949
22;;2020-04-25 00:00:00;17;3948
23;;2022-09-02 00:00:00;88;5469
24;;2020-10-26 00:00:00;21;6723
25;;2020-02-16 00:00:00;35;3377
26;;2020-06-13 00:00:00;25;9642
27;;2022-12-11 00:00:00;15;7778
28;;2020-12-22 00:00:00;32;3892
29;;2021-01-09 00:00:00;34;638
30;;2020-04-15 00:00:00;44;5023
31;;2022-12-24 00:00:00;47;772
32;;2020-09-10 00:00:00;19;4914
33;;2020-11-02 00:00:00;39;5308
34;;2023-04-25 00:00:00;92;3164
35;;2023-02-01 00:00:00;53;639
36;;2023-12-11 00:00:00;39;9083
37;;2021-04-13 00:00:00;65;9240
38;;2021-01-15 00:00:00;19;9075
39;;2022-02-22 00:00:00;41;5234
40;;2023-07-16 00:00:00;72;9914
41;;2022-04-17 00:00:00;21;4027
42;;2020-10-28 00:00:00;42;8880
43;;2020-08-19 00:00:00;27;2440
44;;2023-03-08 00:00:00;15;7439
45;;2022-05-21 00:00:00;64;841
46;;2023-03-08 00:00:00;18;4600
47;;2022-12-24 00:00:00;52;9621
48;;2020-11-21 00:00:00;29;6987
49;;2020-02-29 00:00:00;53;3721
50;;2022-10-21 00:00:00;5;8694
51;;2020-07-22 00:00:00;81;3797
52;;2023-11-19 00:00:00;21;8228
53;;2020-06-09 00:00:00;67;5726
54;;2021-06-14 00:00:00;87;1366
55;;2020-07-23 00:00:00;11;7288
56;;2020-11-05 00:00:00;156;7408
57;;2021-04-22 00:00:00;33;175
58;;2020-01-07 00:00:00;23;1505
59;;2021-05-04 00:00:00;18;865
60;;2022-02-02 00:00:00;54;427
61;;2022-04-28 00:00:00;74;2158
62;;2023-06-17 00:00:00;52;9545
63;;2020-02-08 00:00:00;87;9448
64;;2020-12-15 00:00:00;7;2911
65;;2023-05-03 00:00:00;69;1516
66;;2022-02-10 00:00:00;94;5917
67;;2023-04-24 00:00:00;24;915
68;;2023-10-05 00:00:00;19;6365
69;;2022-06-14 00:00:00;20;9959
70;;2021-02-09 00:00:00;60;325
71;;2021-05-14 00:00:00;32;227
72;;2020-10-20 00:00:00;21;7957
73;;2021-08-18 00:00:00;130;1053
74;;2022-10-21 00:00:00;46;4931
75;;2023-10-17 00:00:00;27;5370
76;;2021-02-26 00:00:00;30;7411
77;;2022-09-04 00:00:00;35;2547
78;;2021-07-18 00:00:00;105;3081
79;;2023-11-16 00:00:00;46;2724
80;;2023-06-13 00:00:00;60;7557
81;;2023-07-09 00:00:00;36;3452
82;;2020-03-06 00:00:00;22;3911
83;;2023-09-10 00:00:00;24;4536
84;;2022-02-26 00:00:00;54;7327
85;;2020-11-15 00:00:00;46;4364
86;;2021-01-13 00:00:00;42;4546
87;;2021-08-12 00:00:00;13;150
88;;2021-12-07 00:00:00;99;6564
89;;2020-04-10 00:00:00;5;395
90;;2020-03-17 00:00:00;21;1725
91;;2023-11-04 00:00:00;47;3155
92;;2022-11-24 00:00:00;21;3890
93;;2022-02-04 00:00:00;77;3377
94;;2020-07-18 00:00:00;44;6231
95;;2023-09-19 00:00:00;12;1313
96;;2023-03-12 00:00:00;22;6844
97;;2021-03-30 00:00:00;21;2585
98;;2023-03-13 00:00:00;16;3906
99;;2023-06-26 00:00:00;21;1159
100;;2021-06-26 00:00:00;73;2386
101;;2020-04-17 00:00:00;18;7082
102;;2021-08-26 00:00:00;89;1320
103;;2021-10-18 00:00:00;74;1231
104;;2023-02-27 00:00:00;65;7072
105;;2021-12-10 00:00:00;116;4299
106;;2021-03-02 00:00:00;27;6534
107;;2020-06-06 00:00:00;39;3079
108;;2023-11-15 00:00:00;23;8156
109;;2020-11-29 00:00:00;119;9879
110;;2022-06-24 00:00:00;55;7610
111;;2021-05-12 00:00:00;24;5104
112;;2021-03-23 00:00:00;41;8466
113;;2021-11-06 00:00:00;118;2047
114;;2022-02-14 00:00:00;11;3500
115;;2023-03-23 00:00:00;15;3812
116;;2020-12-25 00:00:00;62;4733
117;;2020-10-20 00:00:00;4;2235
118;;2021-01-30 00:00:00;42;4360
119;;2022-02-27 00:00:00;94;8868
120;;2020-11-02 00:00:00;30;8720
121;;2020-12-21 00:00:00;8;3248
122;;2021-10-29 00:00:00;54;9500
123;;2023-07-06 00:00:00;32;6230
124;;2020-12-31 00:00:00;22;1206
125;;2022-01-09 00:00:00;129;708
126;;2021-04-01 00:00:00;32;9986
127;;2021-04-23 00:00:00;13;6318
128;;2023-08-29 00:00:00;12;4177
129;;2020-09-24 00:00:00;93;4166
130;;2022-05-26 00:00:00;25;8681
131;;2022-06-04 00:00:00;68;1099
132;;2021-12-08 00:00:00;56;1830
133;;2021-11-17 00:00:00;34;2108
134;;2022-08-30 00:00:00;38;7899
135;;2021-10-06 00:00:00;6;7402
136;;2021-02-09 00:00:00;12;3156
137;;2021-07-14 00:00:00;160;1742
138;;2020-03-23 00:00:00;35;8077
139;;2023-03-17 00:00:00;12;2203
140;;2023-04-03 00:00:00;16;9820
141;;2021-01-05 00:00:00;2;4575
142;;2022-04-04 00:00:00;7;6793
143;;2022-11-03 00:00:00;68;6438
144;;2020-08-28 00:00:00;75;1201
145;;2022-03-29 00:00:00;51;6826
