SHOPPING_CART_ID;DISCOUNT_ID
1;141
2;36
3;107
18;81
19;79
22;43
24;70
27;33
38;79
45;134
46;126
57;131
60;125
74;81
77;119
96;45
125;123
132;83
143;24
152;91
153;78
157;100
158;115
163;140
164;125
166;98
169;60
180;108
190;13
199;34
206;109
208;80
211;147
215;130
216;138
229;118
230;118
233;26
235;15
238;83
248;77
257;118
259;98
261;36
262;92
263;107
268;4
269;58
281;41
284;73
300;110
306;77
313;64
319;136
323;9
328;13
329;51
334;118
340;102
350;130
359;7
370;35
371;67
374;148
376;9
391;78
409;117
415;83
421;29
423;23
426;122
440;70
442;10
445;28
452;47
456;110
462;127
474;53
492;6
497;145
504;102
508;1
518;36
524;129
531;136
536;54
540;1
544;144
546;68
547;4
553;75
554;24
561;34
563;32
573;24
576;56
579;103
580;145
583;112
584;62
585;93
587;92
588;96
591;51
593;72
597;100
601;10
604;114
606;89
610;54
612;8
615;108
616;102
620;91
621;50
622;137
627;122
631;60
634;44
639;105
652;141
659;138
662;76
665;34
669;30
670;147
680;73
704;137
711;98
722;136
725;17
727;119
728;27
738;39
746;26
750;146
751;33
752;55
758;142
763;110
765;81
767;71
775;104
780;146
790;14
792;17
797;135
807;87
809;8
816;16
817;112
822;90
824;62
825;146
831;112
834;115
836;124
837;110
842;141
848;106
861;54
864;41
872;41
881;7
887;61
889;111
890;71
896;129
897;22
898;48
901;98
904;106
905;28
908;107
909;101
912;17
915;41
919;79
920;93
927;63
928;72
930;134
941;59
942;126
946;58
960;104
967;147
980;118
982;13
988;114
989;92
994;49
997;79
1004;123
1008;68
1014;24
1017;124
1025;107
1027;56
1028;51
1037;118
1047;81
1049;9
1050;87
1052;84
1053;92
1057;94
1069;143
1078;75
1080;58
1083;55
1088;27
1095;141
1096;17
1098;146
1099;123
1101;119
1106;53
1107;135
1109;51
1120;48
1127;44
1129;103
1131;55
1132;108
1135;130
1142;51
1144;13
1148;40
1151;135
1156;36
1157;126
1159;86
1164;18
1173;150
1174;118
1180;87
1183;68
1190;125
1192;29
1198;38
1202;132
1210;16
1215;28
1216;71
1232;125
1234;20
1244;126
1247;69
1254;116
1260;118
1262;74
1275;71
1278;109
1282;17
1283;24
1285;86
1297;29
1298;91
1304;85
1306;97
1311;19
1313;76
1335;59
1349;137
1386;111
1387;150
1397;32
1401;56
1406;6
1421;63
1422;36
1438;61
1442;150
1448;65
1453;128
1454;145
