PRODUCT_ID;SUPPLIER_ID;PURCHASE_PRICE
0;6;
0;3;
0;5;
0;4;
0;2;
0;1;
1;6;
1;5;
1;4;
1;1;
2;3;
2;6;
2;1;
2;5;
2;4;
2;2;
3;4;
3;5;
3;2;
4;5;
4;6;
4;2;
4;3;
4;1;
5;6;
5;2;
5;3;
5;1;
5;4;
5;5;
6;5;
6;1;
6;4;
6;6;
6;2;
7;5;
7;4;
7;2;
8;4;
8;3;
8;1;
8;6;
8;5;
8;2;
9;6;
9;2;
9;4;
9;3;
9;5;
9;1;
10;3;
10;1;
10;6;
10;2;
10;5;
10;4;
11;6;
11;5;
11;3;
11;1;
11;2;
11;4;
12;6;
12;2;
12;1;
13;4;
13;6;
13;5;
14;6;
14;3;
14;1;
15;5;
15;1;
15;3;
16;4;
16;2;
16;6;
17;6;
17;1;
17;5;
17;4;
17;3;
17;2;
18;4;
18;6;
18;1;
18;5;
18;2;
18;3;
19;6;
19;1;
19;2;
20;2;
20;1;
20;4;
21;3;
21;6;
21;5;
21;4;
21;2;
22;6;
22;1;
22;4;
22;3;
22;5;
23;2;
23;6;
23;1;
23;3;
23;4;
24;3;
24;4;
24;2;
24;6;
25;5;
25;6;
25;2;
25;1;
25;3;
26;5;
26;6;
26;2;
26;4;
26;1;
27;2;
27;3;
27;6;
28;4;
28;3;
28;1;
29;5;
29;3;
29;2;
29;4;
29;6;
30;3;
30;5;
30;4;
30;1;
30;2;
30;6;
31;3;
31;5;
31;4;
31;2;
31;6;
31;1;
32;1;
32;4;
32;6;
33;5;
33;6;
33;3;
34;1;
34;3;
34;4;
34;5;
35;2;
35;4;
35;6;
35;1;
35;5;
35;3;
36;3;
36;2;
36;6;
36;5;
36;4;
36;1;
37;4;
37;2;
37;1;
37;3;
37;6;
37;5;
38;3;
38;2;
38;5;
38;6;
38;4;
38;1;
39;4;
39;5;
39;3;
39;1;
39;6;
39;2;
40;5;
40;2;
40;4;
40;6;
40;1;
40;3;
41;6;
41;1;
41;5;
42;1;
42;6;
42;5;
42;4;
42;3;
42;2;
43;4;
43;3;
43;1;
43;2;
44;3;
44;5;
44;1;
44;2;
44;4;
44;6;
45;4;
45;2;
45;3;
45;1;
45;5;
46;6;
46;5;
46;2;
46;1;
46;3;
46;4;
47;4;
47;3;
47;2;
47;6;
47;5;
47;1;
48;6;
48;2;
48;1;
48;4;
48;5;
48;3;
49;6;
49;4;
49;3;
49;1;
50;4;
50;6;
50;3;
50;2;
51;6;
51;5;
51;2;
51;4;
51;3;
51;1;
52;1;
52;6;
52;5;
52;3;
52;2;
53;6;
53;4;
53;5;
54;4;
54;6;
54;1;
54;2;
54;5;
54;3;
55;2;
55;6;
55;3;
55;1;
55;4;
55;5;
56;2;
56;6;
56;1;
57;1;
57;4;
57;2;
57;5;
58;3;
58;4;
58;2;
58;5;
59;3;
59;4;
59;6;
59;2;
59;5;
59;1;
60;2;
60;1;
60;5;
60;3;
60;4;
60;6;
61;3;
61;6;
61;4;
61;2;
61;1;
61;5;
62;6;
62;5;
63;3;
63;6;
63;4;
64;6;
64;4;
64;3;
64;1;
64;5;
64;2;
65;1;
65;2;
65;4;
65;6;
66;4;
66;5;
66;2;
66;1;
66;6;
66;3;
67;2;
67;3;
67;6;
67;4;
67;5;
67;1;
68;4;
68;1;
68;6;
68;5;
68;2;
68;3;
69;1;
69;4;
69;5;
69;3;
69;2;
69;6;
70;6;
70;5;
70;2;
70;3;
70;1;
71;5;
71;4;
71;1;
71;6;
71;2;
72;5;
72;1;
72;3;
