PRODUCT_ID;SUPPLIER_ID;BATCH_ID;PURCHASE_PRICE
0;6;1;
0;3;2;
0;3;3;
0;5;4;
0;4;5;
0;4;6;
0;2;7;
0;1;8;
0;1;9;
0;6;10;
1;6;11;
1;5;12;
1;4;13;
1;1;14;
2;3;15;
2;6;16;
2;1;17;
2;5;18;
2;6;19;
2;6;20;
2;4;21;
2;2;22;
2;2;23;
2;5;24;
2;6;25;
2;1;26;
2;4;27;
2;1;28;
2;1;29;
2;6;30;
3;4;31;
3;5;32;
3;2;33;
4;5;34;
4;6;35;
4;6;36;
4;2;37;
4;3;38;
4;1;39;
4;6;40;
4;5;41;
5;6;42;
5;6;43;
5;2;44;
5;3;45;
5;1;46;
5;4;47;
5;6;48;
5;3;49;
5;5;50;
5;1;51;
5;3;52;
6;5;53;
6;1;54;
6;1;55;
6;1;56;
6;4;57;
6;6;58;
6;2;59;
6;6;60;
6;5;61;
6;4;62;
7;5;63;
7;5;64;
7;4;65;
7;2;66;
8;4;67;
8;3;68;
8;4;69;
8;3;70;
8;1;71;
8;6;72;
8;1;73;
8;4;74;
8;5;75;
8;3;76;
8;2;77;
8;1;78;
8;2;79;
8;4;80;
8;3;81;
8;6;82;
8;3;83;
9;6;84;
9;6;85;
9;2;86;
9;4;87;
9;3;88;
9;6;89;
9;5;90;
9;1;91;
9;1;92;
9;1;93;
9;4;94;
10;3;95;
10;3;96;
10;1;97;
10;6;98;
10;2;99;
10;3;100;
10;1;101;
10;2;102;
10;2;103;
10;5;104;
10;4;105;
10;5;106;
10;3;107;
10;4;108;
10;1;109;
10;1;110;
11;6;111;
11;5;112;
11;5;113;
11;3;114;
11;1;115;
11;6;116;
11;1;117;
11;2;118;
11;3;119;
11;1;120;
11;3;121;
11;1;122;
11;6;123;
11;2;124;
11;3;125;
11;2;126;
11;2;127;
11;5;128;
11;1;129;
11;2;130;
11;3;131;
11;6;132;
11;1;133;
11;2;134;
11;2;135;
11;4;136;
11;6;137;
11;3;138;
11;6;139;
11;5;140;
11;2;141;
11;3;142;
11;6;143;
11;5;144;
11;1;145;
11;1;146;
11;3;147;
11;6;148;
11;5;149;
11;3;150;
11;2;151;
11;2;152;
11;1;153;
11;4;154;
11;3;155;
11;5;156;
11;3;157;
12;6;158;
12;2;159;
12;1;160;
12;2;161;
13;4;162;
13;6;163;
13;5;164;
14;6;165;
14;3;166;
14;1;167;
14;6;168;
14;6;169;
14;6;170;
14;6;171;
15;5;172;
15;1;173;
15;3;174;
15;3;175;
16;4;176;
16;2;177;
16;2;178;
16;6;179;
17;6;180;
17;1;181;
17;6;182;
17;5;183;
17;1;184;
17;6;185;
17;6;186;
17;4;187;
17;4;188;
17;5;189;
17;3;190;
17;2;191;
17;5;192;
18;4;193;
18;6;194;
18;1;195;
18;5;196;
18;1;197;
18;6;198;
18;6;199;
18;6;200;
18;6;201;
18;2;202;
18;3;203;
18;6;204;
18;5;205;
18;3;206;
18;6;207;
18;3;208;
18;3;209;
18;4;210;
18;1;211;
18;6;212;
19;6;213;
19;1;214;
19;2;215;
20;2;216;
20;1;217;
20;4;218;
21;3;219;
21;6;220;
21;6;221;
21;3;222;
21;5;223;
21;4;224;
21;2;225;
22;6;226;
22;1;227;
22;1;228;
22;4;229;
22;3;230;
22;3;231;
22;6;232;
22;6;233;
22;3;234;
22;5;235;
22;6;236;
22;6;237;
22;3;238;
22;1;239;
23;2;240;
23;6;241;
23;1;242;
23;2;243;
23;6;244;
23;3;245;
23;4;246;
23;6;247;
24;3;248;
24;4;249;
24;2;250;
24;6;251;
24;2;252;
24;6;253;
25;5;254;
25;6;255;
25;2;256;
25;1;257;
25;3;258;
25;6;259;
25;5;260;
25;5;261;
25;6;262;
26;5;263;
26;6;264;
26;2;265;
26;6;266;
26;6;267;
26;2;268;
26;4;269;
26;1;270;
26;4;271;
26;5;272;
27;2;273;
27;3;274;
27;6;275;
28;4;276;
28;3;277;
28;1;278;
29;5;279;
29;3;280;
29;2;281;
29;4;282;
29;6;283;
29;6;284;
29;5;285;
29;3;286;
29;3;287;
30;3;288;
30;5;289;
30;4;290;
30;5;291;
30;1;292;
30;4;293;
30;4;294;
30;2;295;
30;3;296;
30;2;297;
30;6;298;
30;1;299;
30;2;300;
30;2;301;
30;3;302;
30;3;303;
30;1;304;
30;5;305;
30;1;306;
31;3;307;
31;5;308;
31;4;309;
31;4;310;
31;2;311;
31;4;312;
31;2;313;
31;5;314;
31;2;315;
31;5;316;
31;2;317;
31;3;318;
31;4;319;
31;3;320;
31;6;321;
31;2;322;
31;5;323;
31;4;324;
31;3;325;
31;2;326;
31;1;327;
31;5;328;
31;2;329;
31;3;330;
31;2;331;
31;6;332;
31;5;333;
31;2;334;
31;1;335;
31;5;336;
31;1;337;
31;3;338;
31;6;339;
31;4;340;
31;1;341;
31;4;342;
31;3;343;
31;1;344;
31;2;345;
31;1;346;
31;6;347;
31;6;348;
31;1;349;
31;2;350;
31;5;351;
31;1;352;
31;2;353;
31;6;354;
31;5;355;
31;1;356;
31;3;357;
31;3;358;
31;4;359;
31;6;360;
31;6;361;
31;2;362;
31;5;363;
31;2;364;
31;5;365;
31;6;366;
31;6;367;
31;6;368;
31;6;369;
31;4;370;
31;6;371;
31;1;372;
31;5;373;
31;2;374;
31;5;375;
31;2;376;
31;5;377;
31;2;378;
31;6;379;
31;2;380;
31;2;381;
31;6;382;
31;2;383;
31;5;384;
31;5;385;
31;1;386;
31;2;387;
31;5;388;
31;3;389;
31;3;390;
31;1;391;
31;2;392;
31;3;393;
31;3;394;
31;2;395;
31;6;396;
31;6;397;
31;1;398;
31;6;399;
31;6;400;
31;6;401;
31;5;402;
31;5;403;
31;6;404;
31;3;405;
31;5;406;
31;3;407;
31;5;408;
31;5;409;
31;4;410;
31;1;411;
31;1;412;
31;2;413;
31;2;414;
31;6;415;
31;5;416;
31;3;417;
31;3;418;
31;2;419;
31;5;420;
31;5;421;
31;1;422;
31;3;423;
31;6;424;
31;6;425;
31;2;426;
31;1;427;
31;2;428;
31;6;429;
31;6;430;
31;6;431;
31;3;432;
31;1;433;
31;2;434;
31;2;435;
31;3;436;
31;5;437;
31;3;438;
31;3;439;
31;2;440;
31;4;441;
31;3;442;
31;6;443;
31;2;444;
31;3;445;
31;1;446;
31;6;447;
31;3;448;
31;2;449;
31;6;450;
31;3;451;
31;3;452;
31;3;453;
31;1;454;
31;2;455;
31;1;456;
31;6;457;
31;1;458;
31;6;459;
31;4;460;
31;1;461;
31;2;462;
31;1;463;
31;3;464;
31;1;465;
31;1;466;
31;3;467;
31;5;468;
31;6;469;
31;5;470;
31;5;471;
31;1;472;
31;5;473;
31;5;474;
31;6;475;
31;5;476;
31;5;477;
31;6;478;
31;1;479;
31;6;480;
31;3;481;
31;6;482;
31;3;483;
31;2;484;
31;5;485;
31;1;486;
31;1;487;
32;1;488;
32;4;489;
32;1;490;
32;1;491;
32;1;492;
32;4;493;
32;4;494;
32;6;495;
33;5;496;
33;6;497;
33;3;498;
34;1;499;
34;3;500;
34;4;501;
34;1;502;
34;5;503;
35;2;504;
35;4;505;
35;4;506;
35;6;507;
35;1;508;
35;5;509;
35;6;510;
35;1;511;
35;6;512;
35;6;513;
35;2;514;
35;6;515;
35;4;516;
35;6;517;
35;6;518;
35;6;519;
35;4;520;
35;3;521;
35;6;522;
35;1;523;
35;1;524;
35;3;525;
35;3;526;
35;1;527;
35;1;528;
35;1;529;
35;6;530;
35;1;531;
35;5;532;
35;5;533;
35;1;534;
35;3;535;
35;6;536;
35;2;537;
35;1;538;
35;4;539;
35;5;540;
35;4;541;
35;5;542;
35;5;543;
35;1;544;
35;1;545;
35;3;546;
36;3;547;
36;2;548;
36;6;549;
36;6;550;
36;5;551;
36;5;552;
36;5;553;
36;2;554;
36;4;555;
36;1;556;
36;1;557;
36;5;558;
36;1;559;
36;2;560;
36;5;561;
36;6;562;
36;4;563;
36;6;564;
36;4;565;
37;4;566;
37;2;567;
37;1;568;
37;1;569;
37;1;570;
37;3;571;
37;3;572;
37;3;573;
37;6;574;
37;3;575;
37;5;576;
37;3;577;
37;6;578;
37;1;579;
37;6;580;
37;6;581;
37;2;582;
37;2;583;
37;4;584;
37;1;585;
37;6;586;
37;5;587;
37;6;588;
37;2;589;
37;2;590;
37;5;591;
37;3;592;
37;5;593;
37;6;594;
37;5;595;
37;1;596;
37;5;597;
37;2;598;
37;6;599;
37;6;600;
37;3;601;
37;5;602;
37;1;603;
37;5;604;
37;2;605;
37;6;606;
37;6;607;
37;1;608;
37;4;609;
37;3;610;
37;1;611;
37;5;612;
37;2;613;
37;5;614;
37;2;615;
37;2;616;
37;1;617;
37;3;618;
37;5;619;
37;2;620;
37;4;621;
37;3;622;
37;5;623;
37;4;624;
37;5;625;
37;6;626;
37;2;627;
37;6;628;
37;1;629;
37;5;630;
37;6;631;
37;1;632;
37;6;633;
37;3;634;
37;3;635;
37;1;636;
37;5;637;
37;3;638;
37;2;639;
37;1;640;
37;5;641;
37;6;642;
37;6;643;
37;2;644;
37;2;645;
37;6;646;
37;3;647;
37;3;648;
37;3;649;
37;1;650;
37;2;651;
37;1;652;
37;6;653;
37;5;654;
37;4;655;
37;6;656;
37;1;657;
37;5;658;
37;6;659;
37;5;660;
37;1;661;
37;1;662;
37;6;663;
37;5;664;
37;6;665;
37;2;666;
37;3;667;
37;4;668;
37;5;669;
37;4;670;
37;2;671;
37;5;672;
37;6;673;
37;1;674;
37;2;675;
37;3;676;
37;1;677;
37;5;678;
37;3;679;
37;5;680;
37;6;681;
37;6;682;
37;1;683;
37;3;684;
37;5;685;
37;2;686;
37;5;687;
37;2;688;
37;3;689;
37;1;690;
37;2;691;
37;4;692;
37;4;693;
37;6;694;
37;2;695;
37;6;696;
37;5;697;
37;1;698;
37;2;699;
37;2;700;
37;3;701;
37;3;702;
37;6;703;
37;1;704;
37;3;705;
37;2;706;
37;4;707;
37;3;708;
37;3;709;
37;5;710;
37;3;711;
37;1;712;
37;3;713;
37;6;714;
37;6;715;
37;1;716;
37;6;717;
37;3;718;
37;2;719;
37;6;720;
37;3;721;
37;2;722;
37;2;723;
37;4;724;
37;2;725;
37;2;726;
37;5;727;
37;3;728;
37;2;729;
37;6;730;
37;2;731;
37;4;732;
37;2;733;
37;5;734;
37;5;735;
37;1;736;
37;4;737;
37;1;738;
37;6;739;
37;2;740;
37;6;741;
37;2;742;
37;6;743;
37;6;744;
37;1;745;
37;1;746;
37;1;747;
37;5;748;
37;5;749;
37;6;750;
37;1;751;
37;2;752;
37;1;753;
37;3;754;
37;4;755;
37;4;756;
37;2;757;
37;6;758;
37;6;759;
37;2;760;
37;6;761;
37;6;762;
37;3;763;
37;5;764;
37;1;765;
37;4;766;
37;6;767;
37;2;768;
37;5;769;
37;3;770;
37;6;771;
37;2;772;
37;3;773;
37;5;774;
37;1;775;
37;2;776;
37;6;777;
37;4;778;
37;2;779;
37;3;780;
37;1;781;
37;4;782;
37;5;783;
37;1;784;
37;6;785;
37;4;786;
37;1;787;
37;4;788;
37;4;789;
37;5;790;
37;2;791;
37;4;792;
37;2;793;
37;4;794;
37;5;795;
37;1;796;
37;3;797;
37;1;798;
37;5;799;
37;2;800;
37;4;801;
37;6;802;
37;4;803;
37;3;804;
37;1;805;
37;6;806;
37;4;807;
37;5;808;
37;6;809;
37;1;810;
37;2;811;
37;3;812;
37;5;813;
37;4;814;
37;6;815;
37;5;816;
37;6;817;
37;3;818;
37;6;819;
37;4;820;
37;4;821;
37;1;822;
37;4;823;
37;2;824;
37;1;825;
37;4;826;
37;2;827;
37;6;828;
37;3;829;
37;3;830;
37;1;831;
37;1;832;
37;6;833;
37;2;834;
37;6;835;
37;2;836;
37;6;837;
37;2;838;
37;1;839;
37;6;840;
37;3;841;
37;6;842;
37;6;843;
37;2;844;
37;2;845;
37;5;846;
37;1;847;
37;3;848;
37;4;849;
37;3;850;
37;2;851;
37;1;852;
37;2;853;
37;5;854;
37;1;855;
37;4;856;
37;1;857;
37;3;858;
37;4;859;
37;3;860;
37;6;861;
37;3;862;
37;3;863;
37;1;864;
37;1;865;
37;1;866;
37;1;867;
37;6;868;
37;1;869;
37;5;870;
37;6;871;
37;1;872;
37;2;873;
37;2;874;
37;6;875;
37;1;876;
37;6;877;
37;6;878;
37;4;879;
37;3;880;
37;6;881;
37;3;882;
37;3;883;
37;2;884;
37;6;885;
37;5;886;
37;4;887;
37;6;888;
37;5;889;
37;3;890;
37;6;891;
37;5;892;
37;4;893;
37;4;894;
37;2;895;
37;6;896;
37;1;897;
37;6;898;
37;3;899;
37;6;900;
37;6;901;
37;3;902;
37;5;903;
37;2;904;
37;1;905;
37;3;906;
37;5;907;
37;5;908;
37;5;909;
37;3;910;
37;1;911;
37;6;912;
37;5;913;
37;2;914;
37;5;915;
37;2;916;
37;4;917;
37;3;918;
37;6;919;
37;3;920;
37;6;921;
37;5;922;
