PRODUCT_ID;WAREHOUSE_ID;STOCK;STORAGE_LOCATION
0;1;63;001GJ08
1;1;64;002FD19
2;1;45;007AG23
3;1;43;004FO28
4;1;371;001RR52
5;1;1;003HQ56
6;1;1;001AX53
7;1;1;009VM77
8;1;1682;009CS19
9;1;1;001SQ78
10;1;72;006UJ79
11;1;1;001ZY31
12;1;1;008MH51
13;1;45;004LH39
14;1;443;008QD65
15;1;1;005WT31
16;1;0;009MX25
17;1;928;001AB13
18;1;258;009TA76
19;1;1;004MN99
20;1;61;006BT15
21;1;283;003CK88
22;1;637;009WO47
23;1;1;004JE95
24;1;48;005FS14
25;1;106;005KE56
26;1;67;009UZ75
27;1;1;003XZ28
28;1;92;003WO99
29;1;604;007FF38
30;1;452;003XN58
31;1;14312;003US42
32;1;1;001WW05
33;1;11;002NV88
34;1;136;003SJ54
35;1;2912;008DD03
36;1;1;007JO46
37;1;14568;008VO18
38;1;35220;003VG06
39;1;1;005HI03
40;1;14864;002QO11
41;1;1;002QX80
42;1;139;009SE48
43;1;45;002CA54
44;1;792;006UZ14
45;1;1;004ES72
46;1;438;005IU70
47;1;41766;008IO62
48;1;1;009IX29
49;1;1;004BL64
50;1;39;002EB55
51;1;345;005GN94
52;1;66;001NL38
53;1;1;009NN06
54;1;652;003QB28
55;1;1;001TN62
56;1;1;007ZU81
57;1;252;004SV65
58;1;69;007MG44
59;1;1298;002QD33
60;1;1;004KP93
61;1;497;005ZK52
62;1;1;001QH34
63;1;270;004DG89
64;1;4362;005MJ59
65;1;1;001KO81
66;1;1;009DZ26
67;1;81;003CV87
68;1;43;005BT82
69;1;1;002WL81
70;1;58;004EW05
71;1;1;001LF22
72;1;50;001EA49
73;1;60;001HF20
74;1;308;005DO70
75;1;638;008HP15
76;1;1;007HJ83
77;1;894;006ZE54
78;1;551;008QW56
79;1;1;004CQ64
80;1;1;009OI05
81;1;394;008OD75
82;1;1;009LD47
83;1;1;006ZU08
84;1;106;004OJ99
85;1;1;004LQ75
86;1;1;007UR40
87;1;154;002SD83
88;1;3703;006WX91
89;1;1;003CD61
90;1;135;009KZ14
91;1;1;001EJ61
92;1;88;003HQ43
93;1;491;004HW09
94;1;1;007KF75
95;1;135;009PU75
96;1;1;004IK95
97;1;197;008ZT53
98;1;1;005RC70
99;1;58;009GR54
100;1;2202;003RM47
101;1;1;008YQ92
102;1;709;009VV59
103;1;1;003FT38
104;1;482;009BY13
105;1;1;004TT57
106;1;829;005TF61
107;1;1;001TH73
108;1;1;009KL11
109;1;2782;001XL79
110;1;1;008OZ18
111;1;31;001FQ10
112;1;67;006BO75
113;1;31;006NR96
114;1;63;005SG86
115;1;314;002JU09
116;1;782;003LE53
117;1;1;002HP91
118;1;83;001GK70
119;1;66;007OO79
120;1;23;009YH40
121;1;13;002WH62
122;1;1340;009ID29
123;1;1;008ZY33
124;1;1;008SN64
125;1;147;008AG78
126;1;191;005AL06
127;1;100;004KX23
128;1;1;003WF22
129;1;1;009HN08
130;1;67;008EE04
131;1;36;006CO74
132;1;253;006MG12
133;1;1;008GD29
134;1;39;003UX14
135;1;481;006RX86
136;1;1;008ID15
137;1;64;003DM98
138;1;1;005ST70
139;1;22;009IZ54
140;1;219;008LZ43
141;1;1;009YN67
142;1;26;008NV47
143;1;15;008MH11
144;1;1;005RV98
145;1;73;003SY84
146;1;1922;005ED77
147;1;1;009VO96
148;1;1;004BQ93
149;1;660;009XK77
150;1;1;002LR26
151;1;1;002BE89
152;1;23;002EO33
153;1;1;005DE47
154;1;601;003MQ64
155;1;338;001AX95
156;1;1;003RM25
157;1;1;008VF23
158;1;116;002KI64
159;1;1;009NL15
160;1;1005;005BB75
161;1;1;001TL58
162;1;109;009CP42
163;1;236;002SK61
164;1;21;006TL96
165;1;129;008YR91
166;1;41;009IL24
167;1;50;002ZL46
168;1;52;004NE68
169;1;2943;003FF75
170;1;1;006JM99
171;1;1;001VT65
172;1;72;008TI28
173;1;44;009ZM01
174;1;987;001MS38
175;1;1;009KF37
176;1;1;002MZ84
177;1;467;006KK84
178;1;596;009RB96
179;1;1;006AO79
180;1;18;005FM45
181;1;49;002LC12
182;1;29;006WN20
183;1;272;006AD76
184;1;1336;001MD16
185;1;1;005GF97
186;1;1;009UQ78
187;1;54;004TS82
188;1;246;008FC34
189;1;1;001CU57
190;1;85;006TI12
191;1;151;002FF45
192;1;57;009IM83
193;1;1;008TF60
194;1;338;001UM47
195;1;1;001DN75
196;1;246;007ZH54
197;1;1;005EV95
198;1;240;001NZ82
199;1;107;008VX13
200;1;925;001UP22
201;1;1;005EW94
202;1;396;007WP95
203;1;51;001TW96
204;1;56;002UX57
205;1;26;002WC19
206;1;1;007MQ15
207;1;360;002IG20
208;1;138;005CN84
209;1;1;001KL27
210;1;209;008LO58
211;1;1;007KC61
212;1;280;005GR36
213;1;1;003XO84
214;1;335;006LW04
215;1;1;007YM99
216;1;50;001PK68
217;1;102;004OC83
218;1;1;005SB71
219;1;246;007LE84
220;1;1;001FW50
221;1;290;001PF61
222;1;1;002GY21
223;1;34;001XQ61
224;1;3383;004JC47
225;1;1;009GN69
226;1;240;004BR84
227;1;1;001JK26
228;1;666;001LH75
229;1;1;005TF34
230;1;10;004CU21
231;1;440;005VO94
232;1;1;002IA78
233;1;196;001EY01
234;1;107;002EZ31
235;1;1;003MH95
236;1;2876;009KN22
237;1;1;004BG10
238;1;90;003XP60
239;1;1;004TJ32
240;1;92;008AC43
241;1;958;007AE11
242;1;1;002ZJ79
243;1;92;005KH40
244;1;1;002HJ05
245;1;391;008PX98
246;1;1;004FZ54
247;1;418;006VI43
248;1;810;006XN93
249;1;1;001WP39
250;1;390;008HH31
251;1;1;002TH12
252;1;7;009RW17
253;1;165;008FA44
254;1;1455;003DM36
255;1;1;003IW61
256;1;1;005OL68
257;1;995;007YJ50
258;1;1;009AI17
259;1;76;002GD13
260;1;1;008TU14
261;1;1;003CQ88
262;1;1;007SA88
263;1;883;001FE95
264;1;1;002SF58
265;1;1;002KG43
266;1;498;004EH62
267;1;1;007QU75
268;1;752;005IG03
269;1;1075;007OB79
270;1;471;001OS87
271;1;1;002MB67
272;1;1;002RD69
273;1;179;007FB26
274;1;1;007NK37
275;1;69;001JN98
276;1;1;002UO67
277;1;338;007VX95
278;1;334;002FE28
279;1;1;002QC12
280;1;502;005FN82
281;1;1;009KN12
282;1;1;007XI94
283;1;124;001OR09
284;1;214;009WS82
285;1;992;004HK28
286;1;1;004HP83
287;1;170;001GL60
288;1;117;005QO72
289;1;1;004IZ99
290;1;51;007UD88
291;1;43;007QF74
292;1;31;005TH80
293;1;1;006XU49
294;1;112;009TQ06
295;1;5;006RT96
296;1;644;004YP32
297;1;1;006JM55
298;1;16;002NJ53
299;1;85;009OD68
300;1;1178;007LY18
301;1;1;001OW67
302;1;70;002KA55
303;1;125;008ML48
304;1;103;009IX72
305;1;1;004OI82
306;1;92;008HI93
307;1;249;002AY55
