SHOPPING_CART_ID; DELETED_ON; CREATED_ON; AMOUNT_OF_PRODUCTS; CUSTOMER_ID
1; ;2024-03-29;30;
2; ;2024-01-12;3;
3; ;2024-06-02;3;
4; ;2024-01-07;11;21
5; ;2024-01-30;4;88
6; ;2024-05-18;13;
7; ;2024-05-19;6;74
8; ;2024-01-21;3;
9; ;2024-02-04;6;70
10; ;2024-02-17;2;
11; ;2024-03-16;4;
12; ;2024-01-07;8;
13; ;2024-02-12;8;
14; ;2024-03-07;3;
15; ;2024-04-12;5;
16; ;2024-03-16;15;
17; ;2024-05-07;5;
18; ;2024-05-29;9;
19; ;2024-02-11;5;
20; ;2024-03-05;9;
21; ;2024-01-03;15;
22; ;2024-02-25;4;48
23; ;2024-04-01;15;
24; ;2024-04-28;4;
25; ;2024-04-09;6;
26; ;2024-03-02;6;
27; ;2024-06-11;3;
28; ;2024-03-12;7;
29; ;2024-05-19;9;53
30; ;2024-06-21;9;
31; ;2024-01-15;10;
32; ;2024-02-11;4;
33; ;2024-01-07;7;
34; ;2024-02-09;15;
35; ;2024-04-10;10;
36; ;2024-06-21;9;
37; ;2024-04-13;10;
38; ;2024-06-03;3;
39; ;2024-06-22;7;
40; ;2024-04-07;14;
41; ;2024-04-04;4;
42; ;2024-01-07;8;
43; ;2024-06-11;6;
44; ;2024-06-04;3;
45; ;2024-02-20;12;
46; ;2024-05-16;3;99
47; ;2024-03-22;9;
48; ;2024-01-24;6;
49; ;2024-05-03;8;
50; ;2024-03-17;1;
51; ;2024-05-05;13;
52; ;2024-06-13;3;
53; ;2024-06-04;10;
54; ;2024-01-03;16;
55; ;2024-06-26;3;
56; ;2024-03-05;23;
57; ;2024-03-08;7;
58; ;2024-04-07;5;
59; ;2024-01-14;3;
60; ;2024-06-07;10;
61; ;2024-03-30;14;
62; ;2024-06-18;7;
63; ;2024-06-29;15;
64; ;2024-02-05;2;53
65; ;2024-06-24;14;
66; ;2024-01-07;17;
67; ;2024-06-30;4;10
68; ;2024-04-24;3;70
69; ;2024-04-26;3;
70; ;2024-04-13;15;
71; ;2024-04-03;6;
72; ;2024-03-28;4;
73; ;2024-02-15;22;
74; ;2024-06-12;8;77
75; ;2024-01-10;7;
76; ;2024-01-18;4;
77; ;2024-06-05;7;
78; ;2024-03-21;23;
79; ;2024-02-09;11;
80; ;2024-06-10;16;
81; ;2024-04-14;6;
82; ;2024-03-06;3;
83; ;2024-05-12;3;8
84; ;2024-02-07;9;
85; ;2024-06-09;7;
86; ;2024-05-17;6;
87; ;2024-04-08;2;
88; ;2024-01-24;17;
89; ;2024-06-10;1;
90; ;2024-05-04;3;
91; ;2024-05-02;8;
92; ;2024-05-18;3;
93; ;2024-02-20;14;
94; ;2024-04-11;9;
95; ;2024-06-21;2;
96; ;2024-06-17;4;
97; ;2024-05-18;4;
98; ;2024-05-19;3;
99; ;2024-01-24;3;
100; ;2024-05-10;12;
101; ;2024-03-26;4;
102; ;2024-04-15;21;
103; ;2024-05-19;13;
104; ;2024-05-21;12;21
105; ;2024-06-01;25;
106; ;2024-02-03;4;
107; ;2024-02-20;7;
108; ;2024-02-09;4;
109; ;2024-05-22;21;
110; ;2024-01-12;11;
111; ;2024-02-07;4;
112; ;2024-05-18;8;
113; ;2024-04-28;22;
114; ;2024-04-05;2;
115; ;2024-01-23;3;
116; ;2024-05-21;15;
117; ;2024-05-19;2;
118; ;2024-04-17;9;
119; ;2024-04-10;15;
120; ;2024-05-09;4;
121; ;2024-06-08;1;
122; ;2024-01-07;11;
123; ;2024-02-09;5;
124; ;2024-03-06;3;52
125; ;2024-03-22;20;
126; ;2024-04-13;6;
127; ;2024-02-16;3;67
128; ;2024-04-04;3;
129; ;2024-02-17;19;
130; ;2024-02-13;5;
131; ;2024-01-29;15;
132; ;2024-02-23;12;
133; ;2024-02-10;5;79
134; ;2024-01-18;10;
135; ;2024-06-11;2;
136; ;2024-06-07;5;
137; ;2024-02-14;28;
138; ;2024-03-25;7;
139; ;2024-03-17;2;
140; ;2024-01-19;3;
141; ;2024-06-22;1;
142; ;2024-03-28;10;
143; ;2024-06-19;12;
144; ;2024-06-25;4;
145; ;2024-06-13;3;
146; ;2024-01-13;3;
147; ;2024-03-10;2;
148; ;2024-05-24;6;
149; ;2024-02-16;4;
150; ;2024-01-15;9;
151; ;2024-06-26;20;
152; ;2024-01-26;5;
153; ;2024-05-25;26;
154; ;2024-03-05;3;
155; ;2024-01-08;4;
156; ;2024-06-11;2;
157; ;2024-02-12;6;
158; ;2024-05-04;5;
159; ;2024-01-11;12;
160; ;2024-04-07;5;
161; ;2024-03-04;7;
162; ;2024-02-13;8;94
163; ;2024-01-20;6;16
164; ;2024-01-25;6;
165; ;2024-04-02;9;
166; ;2024-03-27;10;
167; ;2024-03-22;4;
168; ;2024-02-11;3;97
169; ;2024-06-01;10;
170; ;2024-03-06;4;
171; ;2024-02-24;3;
172; ;2024-05-29;9;
173; ;2024-06-05;21;
174; ;2024-03-20;8;
175; ;2024-05-18;6;
176; ;2024-04-29;28;
177; ;2024-05-02;2;
178; ;2024-06-10;8;64
179; ;2024-04-04;8;
180; ;2024-04-30;5;82
181; ;2024-02-19;6;
182; ;2024-04-13;21;
183; ;2024-02-27;9;
184; ;2024-03-13;20;61
185; ;2024-05-28;9;
186; ;2024-01-19;8;
187; ;2024-02-03;11;
188; ;2024-05-31;6;
189; ;2024-02-24;13;
190; ;2024-02-08;5;
191; ;2024-05-29;28;62
192; ;2024-02-17;35;81
193; ;2024-01-08;3;
194; ;2024-03-15;5;
195; ;2024-01-24;12;
196; ;2024-03-10;20;
197; ;2024-06-28;4;
198; ;2024-04-24;28;
199; ;2024-04-16;4;
200; ;2024-01-18;18;
201; ;2024-06-07;5;
202; ;2024-01-29;12;
203; ;2024-05-15;5;
204; ;2024-03-02;12;
205; ;2024-01-09;2;
206; ;2024-05-27;17;
207; ;2024-04-03;6;
208; ;2024-05-28;21;
209; ;2024-04-14;5;
210; ;2024-04-14;7;
211; ;2024-06-29;3;89
212; ;2024-04-12;8;
213; ;2024-03-13;1;
214; ;2024-05-11;4;
215; ;2024-05-31;2;
216; ;2024-01-04;9;
217; ;2024-04-11;11;
218; ;2024-06-27;4;
219; ;2024-02-02;8;
220; ;2024-06-17;21;
221; ;2024-06-15;7;
222; ;2024-03-28;12;
223; ;2024-01-14;8;
224; ;2024-03-15;3;16
225; ;2024-01-21;2;
226; ;2024-03-30;7;
227; ;2024-02-26;10;
228; ;2024-02-04;27;13
229; ;2024-04-27;8;
230; ;2024-03-12;6;
231; ;2024-03-12;5;
232; ;2024-04-27;5;
233; ;2024-01-07;7;
234; ;2024-01-02;2;
235; ;2024-04-24;12;
236; ;2024-05-26;7;
237; ;2024-06-28;9;
238; ;2024-04-21;4;
239; ;2024-04-18;10;
240; ;2024-03-31;10;
241; ;2024-02-15;1;
242; ;2024-04-01;6;
243; ;2024-05-08;2;
244; ;2024-04-22;18;
245; ;2024-02-05;6;
246; ;2024-03-22;9;
247; ;2024-05-24;13;
248; ;2024-01-07;2;
249; ;2024-01-24;12;64
250; ;2024-06-27;33;
251; ;2024-02-08;16;
252; ;2024-03-08;2;
253; ;2024-04-15;16;
254; ;2024-03-12;7;
255; ;2024-01-03;3;
256; ;2024-01-09;9;
257; ;2024-04-14;11;
258; ;2024-01-09;15;
259; ;2024-04-19;5;
260; ;2024-03-06;14;
261; ;2024-04-06;3;
262; ;2024-05-23;8;
263; ;2024-06-14;3;
264; ;2024-03-06;3;
265; ;2024-01-10;15;
266; ;2024-01-30;4;
267; ;2024-01-07;18;
268; ;2024-06-26;24;
269; ;2024-04-01;2;
270; ;2024-06-09;7;
271; ;2024-04-10;15;
272; ;2024-05-13;5;
273; ;2024-02-22;19;
274; ;2024-04-19;4;89
275; ;2024-04-09;5;
276; ;2024-04-01;52;
277; ;2024-01-16;11;
