SHOPPING_ORDER_EXTENSION_ID; ORDER_ID; NET_PURCHASE_PRICE; POINT_OF_SALE_ID; CASH_REGISTRY_ID
1;1;76.0;1;1
2;2;11.08;1;2
3;3;26.34;1;1
4;4;29.95;1;2
5;5;39.81;1;4
6;6;43.31;1;1
7;7;18.19;1;2
8;8;23.0;1;2
9;9;23.14;1;2
10;10;14.31;1;3
11;11;24.04;1;1
12;12;31.76;1;2
13;13;25.46;1;4
14;14;17.25;1;4
15;15;31.32;1;4
16;16;33.15;1;1
17;17;31.66;1;1
18;18;33.58;1;3
19;19;31.39;1;2
20;20;49.34;1;1
21;21;41.63;1;3
22;22;49.47;1;1
23;23;49.76;1;2
24;24;25.98;1;2
25;25;24.42;1;2
26;26;16.68;1;1
27;27;20.42;1;2
28;28;34.98;1;4
29;29;40.0;1;3
30;30;39.91;1;4
31;31;29.66;1;2
32;32;20.91;1;1
33;33;49.83;1;2
34;34;57.71;1;4
35;35;40.12;1;1
36;36;48.71;1;4
37;37;34.7;1;3
38;38;19.4;1;3
39;39;45.36;1;1
40;40;42.0;1;1
41;41;25.32;1;2
42;42;30.7;1;2
43;43;18.42;1;2
44;44;29.5;1;2
45;45;32.2;1;3
46;46;29.08;1;3
47;47;37.63;1;2
48;48;36.44;1;2
49;49;25.3;1;4
50;50;36.72;1;4
51;51;41.53;1;1
52;52;27.97;1;2
53;53;48.87;1;1
54;54;36.37;1;1
55;55;59.89;1;3
56;56;67.42;1;3
57;57;25.11;1;2
58;58;19.49;1;4
59;59;25.46;1;3
60;60;40.52;1;2
61;61;37.83;1;3
62;62;43.54;1;4
63;63;35.92;1;3
64;64;35.2;1;1
65;65;65.82;1;3
66;66;45.72;1;1
67;67;14.72;1;4
68;68;12.06;1;3
69;69;35.08;1;4
70;70;35.59;1;2
71;71;18.28;1;1
72;72;62.02;1;4
73;73;61.55;1;3
74;74;24.47;1;3
75;75;21.91;1;2
76;76;25.63;1;2
77;77;71.24;1;3
78;78;74.58;1;2
79;79;53.28;1;1
80;80;45.6;1;2
81;81;20.31;1;2
82;82;13.56;1;3
83;83;24.73;1;3
84;84;36.36;1;1
85;85;31.53;1;4
86;86;18.97;1;1
87;87;42.68;1;1
88;88;40.8;1;1
89;89;7.8;1;2
90;90;23.41;1;3
91;91;22.76;1;3
92;92;33.66;1;3
93;93;51.44;1;2
94;94;26.81;1;4
95;95;15.44;1;1
96;96;19.17;1;2
97;97;14.74;1;1
98;98;10.37;1;2
99;99;30.56;1;1
100;100;36.85;1;3
101;101;54.78;1;4
102;102;73.07;1;3
103;103;55.55;1;1
104;104;74.19;1;1
105;105;55.58;1;4
106;106;25.27;1;2
107;107;25.83;1;4
108;108;53.41;1;3
109;109;65.77;1;2
110;110;29.64;1;2
111;111;25.06;1;4
112;112;56.17;1;3
113;113;42.72;1;2
114;114;9.59;1;4
115;115;35.17;1;3
116;116;33.47;1;2
117;117;23.41;1;1
118;118;49.36;1;1
119;119;39.53;1;3
120;120;11.7;1;4
121;121;25.92;1;4
122;122;32.66;1;3
123;123;17.52;1;1
124;124;57.48;1;4
125;125;65.24;1;4
126;126;25.24;1;1
127;127;16.69;1;4
128;128;40.78;1;3
129;129;44.74;1;1
130;130;45.01;1;3
131;131;62.32;1;3
132;132;41.8;1;2
133;133;34.65;1;2
134;134;25.77;1;1
135;135;16.2;1;2
136;136;64.97;1;2
137;137;65.23;1;1
138;138;17.09;1;4
139;139;11.82;1;4
140;140;8.25;1;3
141;141;5.35;1;3
142;142;51.2;1;2
143;143;46.74;1;4
144;144;13.37;1;4
145;145;9.88;1;1
146;146;7.71;1;3
147;147;16.28;1;2
148;148;20.77;1;2
149;149;27.27;1;2
150;150;62.58;1;2
151;151;51.69;1;1
152;152;15.95;1;4
153;153;61.72;1;4
154;154;14.91;1;1
155;155;10.4;1;1
156;156;12.63;1;4
157;157;16.49;1;4
158;158;38.11;1;2
159;159;37.6;1;2
160;160;26.88;1;4
161;161;55.42;1;2
162;162;26.05;1;2
163;163;24.94;1;1
164;164;33.43;1;1
165;165;44.59;1;3
166;166;32.61;1;1
167;167;14.96;1;2
168;168;27.86;1;1
169;169;30.55;1;2
170;170;16.48;1;2
171;171;27.34;1;4
172;172;68.01;1;3
173;173;62.03;1;4
174;174;28.28;1;1
175;175;62.52;1;4
176;176;55.82;1;1
177;177;22.63;1;4
178;178;35.44;1;4
179;179;28.42;1;4
180;180;18.66;1;1
181;181;51.81;1;4
182;182;57.34;1;3
183;183;61.2;1;3
184;184;65.51;1;1
185;185;37.96;1;2
186;186;42.94;1;4
187;187;35.35;1;2
188;188;38.41;1;3
189;189;37.05;1;3
190;190;65.0;1;2
191;191;117.0;1;2
192;192;78.56;1;1
193;193;16.66;1;3
194;194;36.09;1;2
195;195;66.02;1;3
196;196;51.27;1;3
197;197;58.82;1;2
198;198;58.33;1;4
199;199;49.51;1;4
200;200;51.19;1;2
201;201;32.84;1;3
202;202;30.31;1;1
203;203;34.46;1;1
204;204;30.32;1;4
205;205;43.58;1;2
206;206;54.9;1;2
207;207;60.12;1;1
208;208;54.72;1;1
209;209;24.19;1;4
210;210;19.06;1;3
211;211;22.54;1;2
212;212;20.11;1;2
213;213;10.33;1;3
214;214;11.77;1;2
215;215;20.73;1;3
216;216;37.0;1;4
217;217;30.07;1;1
218;218;28.72;1;1
219;219;68.38;1;1
220;220;62.39;1;1
221;221;38.39;1;2
222;222;42.18;1;3
223;223;25.5;1;1
224;224;10.71;1;1
225;225;17.86;1;2
226;226;37.87;1;3
227;227;70.01;1;4
228;228;64.84;1;2
229;229;26.96;1;1
230;230;22.26;1;3
231;231;27.78;1;4
232;232;31.4;1;1
233;233;21.96;1;3
234;234;32.87;1;4
235;235;38.91;1;4
236;236;34.28;1;2
237;237;30.46;1;2
238;238;26.58;1;4
239;239;42.12;1;3
240;240;25.03;1;1
241;241;15.18;1;1
242;242;20.13;1;2
243;243;53.14;1;1
244;244;62.5;1;1
245;245;34.39;1;2
246;246;40.1;1;3
247;247;24.76;1;4
248;248;27.38;1;1
249;249;81.48;1;4
250;250;100.45;1;3
251;251;41.88;1;3
252;252;38.51;1;2
253;253;44.64;1;1
254;254;16.53;1;3
255;255;29.02;1;1
256;256;49.47;1;1
257;257;55.49;1;1
258;258;38.23;1;3
259;259;38.47;1;3
260;260;35.27;1;4
261;261;23.69;1;3
262;262;22.85;1;2
263;263;10.68;1;3
264;264;29.57;1;3
265;265;32.88;1;2
266;266;49.2;1;1
267;267;97.19;1;2
268;268;59.92;1;3
269;269;16.23;1;4
270;270;48.81;1;3
271;271;47.9;1;2
272;272;52.41;1;3
273;273;49.61;1;1
274;274;19.21;1;3
275;275;67.32;1;3
276;276;133.1;1;3
277;277;33.24;1;2
278;278;22.55;1;2
279;279;22.77;1;4
280;280;20.38;1;2
281;281;14.64;1;2
282;282;34.92;1;2
283;283;60.0;1;4
284;284;33.58;1;4
285;285;14.24;1;4
286;286;22.58;1;3
287;287;19.09;1;3
288;288;32.54;1;1
289;289;62.0;1;3
290;290;65.42;1;3
